date,st_dev_lt_sce,st_dev_resid_lt_sce,st_dev_lt_sce_ma,st_dev_resid_lt_sce_ma
2024m4,6.4613209,6.2708621,6.8301425,6.8097267
2024m5,7.0312271,7.001029,6.9436264,6.8967166
2024m6,6.3152676,6.1897974,6.7496629,6.7153277
2024m7,6.2632513,6.2352033,6.7621074,6.7135782
2024m8,7.8208909,7.9821916,6.8722906,6.8068619
2024m9,7.3541808,7.0755167,7.051456,6.9992127
2024m10,5.6590176,5.6996531,7.18963,7.157537
2024m11,7.0744271,7.0589628,7.3382206,7.3154535
2024m12,7.8710303,7.7485428,7.3620024,7.3538775
2025m1,8.0738125,8.0020199,7.3046412,7.2753382
2025m2,8.2747908,8.4259443,7.297564,7.3038845
2025m3,7.6525822,7.6110473,7.5706549,7.5712562
2025m4,6.4772878,6.5810204,7.6699009,7.6737151
2025m5,,,,
2025m6,,,,
2025m7,,,,
2025m8,,,,
2025m9,,,,
2025m10,,,,
2025m11,,,,
2025m12,,,,
