date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1979m9,7.80721233322585,,,3.01934616427248,,,9,,,4.1266928,,,6,,,6.4033647,,,5.0915275,,,5.2162695,,,5.5,,,,,,.16551757,,,.1605698,,,-.3914966,,,2.5484283,,,5.1370754,,,5.2104082,,,5.5284996,,,.26709396,,,.19462135,,,.14158462,,,-.30687556,,,2.5463531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m10,7.482564888918149,,,2.77737143023236,,,7,,,2.8065579,,,6,,,6.6562452,,,5.0061426,,,5.2282333,,,5,,,,,,.27824649,,,.12920628,,,-.48879835,,,2.6354053,,,5.0323076,,,5.2224145,,,5.4714322,,,.23841986,,,.25299272,,,.1059949,,,-.38060203,,,2.5994344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m11,8.643028704166566,,,3.867578741106721,,,10,,,4.8326516,,,8,,,7.7679062,,,5.4103513,,,5.3616595,,,6,,,,,,.079871044,,,.078575023,,,-.23705006,,,2.4200008,,,5.4481468,,,5.3423662,,,6,,,.18981321,,,.055259947,,,.068279706,,,-.1592163,,,2.3743169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m12,8.11782655004124,,,3.502624519136899,,,9,,,4.5143447,,,6,,,6.710484,,,5.358768,,,5.5079198,,,5.5,,,,,,.20006734,,,.012595729,,,-.32535049,,,2.5375738,,,5.3089089,,,5.4936671,,,5.3931074,,,.20271072,,,.15624499,,,.0021324141,,,-.22532585,,,2.5368381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m1,8.943271443091277,,,4.285749537715946,,,10,,,4.8326516,,,8,,,7.6488233,,,5.1905432,,,5.6559472,,,6,,,0,,,.057625521,,,-.0073789661,,,-.19035663,,,2.5646749,,,5.199852,,,5.6435013,,,5.6088257,,,.27287224,,,.040556636,,,-.011705391,,,-.11422382,,,2.5318725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m2,8.623033817409794,,,3.787106500886584,,,10,,,4.8326516,,,7,,,7.6537709,,,5.1500072,,,5.7809267,,,5,,,1.1702327,,,-.061787587,,,-.025387313,,,-.23948951,,,2.5420792,,,5.1576443,,,5.7614555,,,5.3578591,,,1.3084551,,,-.090952732,,,-.027445929,,,-.15056659,,,2.5717466,,,7.588060405314819,,,3.283694767400315,,,9,,,4.7434874,,,6,,,6.4641747,,,6.1115079,,,6.1115079,,,5.5,,,6.3229079,,,-.79306507,,,-.79306507,,,-.35896364,,,5.4004183,,,6.1405191,,,6.1405191,,,5.6708584,,,5.8151827,,,-.83800393,,,-.83800393,,,-.27353948,,,5.6106129,,
1980m3,8.589937752641235,,,4.122409139036297,,,10,,,5.0647454,,,8,,,8.6127853,,,6.3139305,,,5.8828502,,,7,,,5.6262374,,,-.29194617,,,-.0458555,,,-.14313489,,,3.0297384,,,6.1600661,,,5.8618817,,,6.7869792,,,2.7634511,,,-.20742238,,,-.049977485,,,-.046119798,,,2.6437492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m4,7.664421205989451,,,3.043094048365661,,,10,,,4.7804637,,,10,,,9.6537714,,,6.7091742,,,5.873982,,,7.5,,,4.8351779,,,-.46518672,,,-.029576384,,,-.31129637,,,3.6125355,,,6.7402539,,,5.8569126,,,7.2695265,,,5.249177,,,-.48662245,,,-.028461842,,,-.24471295,,,3.6436288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m5,5.986123665277883,,,1.492794726936722,,,6,,,1.6772395,,,10,,,11.061947,,,6.67308,,,5.9001255,,,6.5,,,5.0953956,,,-.028818186,,,-.021370769,,,.96887761,,,3.0332861,,,6.6072555,,,5.8882713,,,6.8180208,,,4.4566813,,,-.020026606,,,-.017738756,,,1.0700818,,,2.9893596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m6,5.96379438439727,,,1.081363320926233,,,7,,,1.7804638,,,10,,,9.7911625,,,6.2163415,,,5.9874349,,,6.5,,,4.2318826,,,.0034424467,,,-.023533503,,,1.0479882,,,3.022743,,,6.1986666,,,5.9787173,,,6.5,,,3.9269686,,,.05295651,,,-.021502528,,,1.0600377,,,3.0390751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m7,6.568842349989022,,,1.860493107102888,,,7,,,1.8326517,,,10,,,9.584713,,,5.9234543,,,6.0610662,,,6,,,4.0320148,,,.094032802,,,-.025298869,,,1.0860565,,,2.9213831,,,5.9361424,,,6.0485635,,,6.1135731,,,3.5304012,,,.050208718,,,-.027076451,,,1.1741349,,,2.9130962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m8,6.547638738726587,,,1.831181732718391,,,7,,,1.8065578,,,7.5,,,7.8427668,,,5.3305402,,,6.0170836,,,6,,,2.3979158,,,.22638309,,,-.0035604928,,,-.61954999,,,2.6234014,,,5.4034252,,,6.009335,,,5.7199926,,,2.0233483,,,.24890073,,,-.011747213,,,-.53098828,,,2.6147242,,,7.235759756309673,,,3.087712365707763,,,7,,,2.9924846,,,6,,,6.4990263,,,5.7580242,,,5.8651628,,,5,,,4.3108392,,,-.22174668,,,-.3330211,,,-.48606172,,,4.17556,,,5.9108138,,,5.9070597,,,5.5,,,4.0633559,,,-.23589186,,,-.32957944,,,-.42016152,,,4.023509,,
1980m9,7.198628872038992,,,2.509698232236132,,,7,,,2.4112661,,,7,,,7.5290408,,,5.5940604,,,5.914114,,,6.5,,,2.6352315,,,.27391788,,,-.005032171,,,-.48529956,,,2.61676,,,5.5911369,,,5.9050188,,,6.2509661,,,1.6953838,,,.25275278,,,-.01696213,,,-.41029096,,,2.5684874,,,7.479364850047538,,,3.457199004511268,,,8,,,4.0519037,,,5,,,5.9712281,,,5.972301,,,5.9284568,,,6,,,4.1920562,,,-.44429556,,,-.30465287,,,-.41929391,,,4.0997925,,,5.9033055,,,5.9297633,,,5.7811785,,,4.2744761,,,-.42326701,,,-.29936987,,,,,,3.9863193,,
1980m10,6.805873401386972,,,2.130647918303314,,,7,,,2.6253433,,,7,,,8.1285782,,,5.9763265,,,5.7950411,,,6.5,,,3.4599752,,,.038160913,,,.0051453696,,,-.4795084,,,2.9325495,,,6.0138645,,,5.796299,,,6.2792425,,,3.4835985,,,.0066826772,,,-.0050194757,,,,,,2.9297674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m11,6.08005904014306,,,1.283576851328576,,,6,,,1.7804638,,,10,,,9.6531878,,,5.8126879,,,5.7436814,,,6,,,5.1291027,,,-.077675886,,,-.0081244409,,,1.0507233,,,3.4305358,,,5.7862597,,,5.7248683,,,5.9975262,,,4.3580642,,,-.14111803,,,-.0053174156,,,1.1452867,,,3.5627975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m12,7.230482369817191,,,2.630770626153501,,,8,,,3.8090317,,,8,,,8.2019053,,,5.918088,,,5.7534323,,,6.5,,,3.51595,,,-.096300781,,,-.014161118,,,-.43346745,,,2.7658889,,,5.8070087,,,5.7357788,,,6.4712086,,,3.0111766,,,-.069459237,,,-.014784863,,,-.33774418,,,2.7205586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981m1,6.613091380779862,,,1.747022259859328,,,7,,,2.6247602,,,8,,,8.5028782,,,5.7824473,,,5.7924013,,,6,,,7.5107064,,,-.47843182,,,-.021746127,,,1.1860607,,,4.5748649,,,5.8014092,,,5.7630486,,,5.9687347,,,5.3259549,,,-.5335567,,,-.042300232,,,-.47956043,,,4.7434363,,,6.682659934682762,,,2.335886167536493,,,7,,,2.8846889,,,7,,,7.4875865,,,6.0550447,,,5.9516945,,,6,,,3.0926712,,,-.24791636,,,-.31482521,,,-.54320252,,,3.0751667,,,5.9751706,,,5.8553658,,,5.8602552,,,2.9862478,,,-.23895077,,,-.28246745,,,,,,3.0127304,,
