date,mean_fcast_msc,med_fcast_msc
2008m11,2.992217898832679,3
2008m12,1.55068493150685,1
2009m1,2.255172413793097,2
2009m2,1.905642023346316,2
2009m3,1.886915887850475,1
2009m4,2.895463510848119,3
2009m5,3.320952380952374,3
2009m6,3.613000000000025,3
2009m7,3.650547445255482,3
2009m8,2.654676258992814,3
2009m9,2.936590436590447,2
2009m10,3.222222222222205,3
2009m11,3.214152700186219,3
2009m12,2.815978456014363,2
2010m1,3.233935742971881,3
2010m2,3.661611374407584,3
2010m3,3.26349496797806,3
2010m4,3.652977412731022,3
2010m5,3.967229394240328,3
2010m6,3.373860182370808,3
2010m7,3.367243133265529,3
2010m8,3.304054054054061,3
2010m9,3.127884615384602,2
2010m10,3.27264150943395,3
2010m11,3.519493177387887,3
2010m12,3.92824704813804,3
2011m1,4.083916083916077,3.5
2011m2,4.662898252826302,3
2011m3,5.348837209302314,5
2011m4,5.193097014925359,5
2011m5,4.846473029045662,4
2011m6,4.362011173184348,3
2011m7,4.053846153846164,3
2011m8,4.72340425531913,4
2011m9,4.481067125645471,3
2011m10,4.108292682926836,3
2011m11,4.058171745152342,3
2011m12,3.961467889908253,3
2012m1,3.980318650421742,3
2012m2,4.069672131147521,3
2012m3,4.792394655703998,4
2012m4,3.820880245649958,3
2012m5,3.58299180327868,3
2012m6,3.874207188160661,3
2012m7,3.860215053763447,3
2012m8,4.120793787748068,3
2012m9,4.0561224489796,3
2012m10,4.134879725085939,3
2012m11,4.037282518641265,3
2012m12,3.814937759336091,3
2013m1,4.631211857018326,3
2013m2,4.430594900849877,3
2013m3,4.08623853211009,3
2013m4,4.393939393939399,3
2013m5,4.138840070298782,3
2013m6,3.639157155399488,3
2013m7,3.965254237288137,3
2013m8,4.167259786476868,3
2013m9,4.20773759461734,3
2013m10,3.513259195893932,3
2013m11,3.640365448505002,3
2013m12,4.110455311973038,3
2014m1,3.920484010371639,3
2014m2,4.374892519346529,3
2014m3,4.160833953834731,3
2014m4,4.016406250000023,3
2014m5,4.489736070381239,3
2014m6,3.443517816527673,3
2014m7,4.35855546001721,3
2014m8,3.87292817679556,3
2014m9,3.780529461998285,3
2014m10,3.376884422110578,3
2014m11,3.154305200341013,3
2014m12,2.923651452282142,3
2015m1,2.569531249999989,2
2015m2,3.183132530120476,3
2015m3,3.719391634980993,3
2015m4,3.229132569558117,3
2015m5,3.293695131683968,3
2015m6,3.518948182521273,3
2015m7,3.945484133441822,3
2015m8,3.647228221742266,3
2015m9,3.265712012728726,3
2015m10,3.807627118644078,3
2015m11,3.432069510268553,3
2015m12,2.951939291736942,3
2016m1,3.358024691357997,3
2016m2,2.818321785989239,2
2016m3,3.388593155893536,3
2016m4,3.610091743119257,3
2016m5,3.145377558221608,2
2016m6,3.24472243940579,2
2016m7,3.318286151491974,3
2016m8,3.091666666666676,3
2016m9,2.989018531228562,2
2016m10,3.002102312543801,2
2016m11,3.109479305740958,3
2016m12,2.965692503176596,2
2017m1,2.997412677878401,3
2017m2,3.402081977878971,3
2017m3,3.113498992612474,2
2017m4,2.906504065040648,3
2017m5,2.926072607260722,2
2017m6,3.434336525307799,3
2017m7,3.017568517217135,2
2017m8,3.195595854922281,3
2017m9,3.32713498622591,3
2017m10,3.133762057877807,2
2017m11,3.051889814221664,3
2017m12,3.300211416490492,3
2018m1,2.957293035479638,3
2018m2,3.261968085106375,3
2018m3,3.436835106382969,3
2018m4,3.454608454608439,3
2018m5,3.373907195696034,3
2018m6,3.757039947609672,3
2018m7,3.695799457994559,3
2018m8,3.740820734341243,3
2018m9,3.171750663129979,3
2018m10,3.744813278008291,3
2018m11,3.280678851174933,3
2018m12,3.257849031396138,3
2019m1,2.960238568588466,3
2019m2,3.181887366818875,3
2019m3,2.977350720658908,3
2019m4,3.133011716057889,3
2019m5,3.344272844272838,3
2019m6,3.563956793632764,3
2019m7,3.320220841959989,3
2019m8,3.357739242132311,3
2019m9,3.629842180774771,3
2019m10,3.198870765370135,3
2019m11,3.100757134536956,3
2019m12,2.768056371109798,2
2020m1,2.90587529976019,2
2020m2,2.748320097739778,2
2020m3,2.611983711460174,2
2020m4,2.28999999999999,2
2020m5,3.258042895442352,3
2020m6,3.554250172771245,3
2020m7,3.320453031312449,3
2020m8,3.506351039260987,3
2020m9,3.171274443695211,3
2020m10,2.735647530040064,2
2020m11,3.086163522012592,3
2020m12,2.955276030747742,2
2021m1,3.816195372750619,3
2021m2,4.348443843031136,3
2021m3,4.055167597765375,3
2021m4,4.388815789473705,3
2021m5,5.346938775510175,4
2021m6,5.115775220040631,4
2021m7,5.008333333333378,5
2021m8,5.599735799207381,4
2021m9,5.538256819693961,5
2021m10,5.499321573948458,5
2021m11,6.060522696011036,5
2021m12,5.621483375959087,5
2022m1,5.589013898080779,5
2022m2,5.891574585635387,5
2022m3,6.955892034233048,5
2022m4,5.899404367968196,5
2022m5,5.531165311653069,5
2022m6,6.441336971350653,5
2022m7,5.850326797385609,5
2022m8,4.691056910569143,5
2022m9,4.580068728522308,4.5
2022m10,5.619946091644168,5
2022m11,5.424648786717797,5
2022m12,4.806795469686899,4
2023m1,4.102513227513255,3
2023m2,4.722363405336697,4
2023m3,3.819209039548015,3
2023m4,4.235605559232282,4.5
2023m5,4.288473520249226,4
2023m6,3.589641434262974,3
2023m7,4.147276395427055,3
2023m8,3.713924050632903,3
2023m9,3.82572347266881,3
2023m10,4.61370916079433,4
2023m11,4.529298132646529,4
2023m12,3.469387755102019,3
2024m1,3.039765319426346,3
2024m2,3.538265306122428,3
2024m3,3.374426229508189,3
