date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_power_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_power_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_power_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_power_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_power_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_power_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_power_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_power_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_power_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_power_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_power_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_power_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_power_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_power_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_power_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_power_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_power_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_power_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_power_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_power_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_power_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_power_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1979m9,7.80721233322585,,,3.024209598306696,,,,9,,,4.1375279,,,,6,,,6.4459448,,,,5.0915275,,,5.2162695,,,5.5,,,,,,.16551757,,,.1605698,,,-.3914966,,,2.5484283,,,5.1339436,,,,5.2072725,,,,5.5538979,,,,.24285884,,,,.1938943,,,,.14296722,,,,-.30710992,,,,2.5459394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m10,7.482564888918149,,,2.783289455772459,,,,7,,,2.8137531,,,,6,,,6.6454988,,,,5.0061426,,,5.2282333,,,5,,,,,,.27824649,,,.12920628,,,-.48879835,,,2.6354053,,,5.0283661,,,,5.2194476,,,,5.454278,,,,.23243727,,,,.2535184,,,,.10719127,,,,-.38067603,,,,2.6020091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m11,8.643028704166566,,,3.870990412333529,,,,10,,,4.8513293,,,,8,,,7.8440475,,,,5.4103513,,,5.3616595,,,6,,,,,,.079871044,,,.078575023,,,-.23705006,,,2.4200008,,,5.4452586,,,,5.3394299,,,,6,,,,.19174385,,,,.055608153,,,,.069190666,,,,-.15946139,,,,2.3760264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979m12,8.11782655004124,,,3.505486385432004,,,,9,,,4.4524035,,,,6,,,6.6520247,,,,5.358768,,,5.5079198,,,5.5,,,,,,.20006734,,,.012595729,,,-.32535049,,,2.5375738,,,5.3057356,,,,5.4904861,,,,5.3700881,,,,.1927458,,,,.16017494,,,,.0028397504,,,,-.22616693,,,,2.5411413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m1,8.943271443091277,,,4.291784798364499,,,,10,,,4.8513293,,,,8,,,7.6223578,,,,5.1905432,,,5.6559472,,,6,,,0,,,.057625521,,,-.0073789661,,,-.19035663,,,2.5646749,,,5.1963964,,,,5.6405292,,,,5.6434445,,,,.26663983,,,,.042306852,,,,-.011062528,,,,-.1140667,,,,2.5321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m2,8.623033817409794,,,3.793481552830607,,,,10,,,4.8513293,,,,7,,,7.6454988,,,,5.1500072,,,5.7809267,,,5,,,1.1702327,,,-.061787587,,,-.025387313,,,-.23948951,,,2.5420792,,,5.1549363,,,,5.7585545,,,,5.3882179,,,,1.3047454,,,,-.090020262,,,,-.026520878,,,,-.15040879,,,,2.572876,,,,7.588060405314819,,,3.289405937330976,,,,9,,,4.7527018,,,,6,,,6.4107852,,,,6.1115079,,,6.1115079,,,5.5,,,6.3229079,,,-.79306507,,,-.79306507,,,-.35896364,,,5.4004183,,,6.1367593,,,,6.1367593,,,,5.680213,,,,5.8434391,,,,-.8358683,,,,-.8358683,,,,-.27581564,,,,5.6113939,,,
1980m3,8.589937752641235,,,4.130856620051124,,,,10,,,5.0065908,,,,8,,,8.6826277,,,,6.3139305,,,5.8828502,,,7,,,5.6262374,,,-.29194617,,,-.0458555,,,-.14313489,,,3.0297384,,,6.1577344,,,,5.8590493,,,,6.7433105,,,,2.7984321,,,,-.20820336,,,,-.048931986,,,,-.045344926,,,,2.645031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m4,7.664421205989451,,,3.046370231381111,,,,10,,,4.7830267,,,,10,,,9.6454992,,,,6.7091742,,,5.873982,,,7.5,,,4.8351779,,,-.46518672,,,-.029576384,,,-.31129637,,,3.6125355,,,6.7357712,,,,5.8541603,,,,7.2552271,,,,5.217885,,,,-.48675573,,,,-.027340893,,,,-.24484208,,,,3.6440499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m5,5.986123665277883,,,1.494325886462093,,,,6,,,1.6922975,,,,10,,,11.049761,,,,6.67308,,,5.9001255,,,6.5,,,5.0953956,,,-.028818186,,,-.021370769,,,.96887761,,,3.0332861,,,6.6066194,,,,5.8856182,,,,6.7975235,,,,4.460124,,,,-.020086043,,,,-.016973469,,,,1.0701709,,,,2.994256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980m6,5.96379438439727,,,1.090105572531797,,,,7,,,1.7830268,,,,10,,,9.7633171,,,,6.2163415,,,5.9874349,,,6.5,,,4.2318826,,,.0034424467,,,-.023533503,,,1.0479882,,,3.022743,,,6.1961703,,,,5.9760671,,,,6.5,,,,3.9227302,,,,.054769151,,,,-.020996029,,,,1.0593334,,,,3.0390344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
